,RH,SR,Temperature,WBGT,Wind
2220,25.169647,950229.9,34.92801,24.409264,1.1895885
2221,26.672495,311011.3,34.53128,25.29437,0.8700842
2222,33.957798,4262.589,31.438385,23.630592,0.38252005
2223,34.872375,3.5999988e-12,30.499786,22.632984,1.347186
2224,40.83621,3.5999988e-12,28.45877,21.493752,1.8307598
2225,51.23891,3.5999988e-12,25.206696,19.663973,1.8761057
2226,56.24786,3.5999988e-12,24.846588,19.776302,1.7925663
2227,59.29178,3.5999988e-12,24.987091,20.165102,1.7146349
2228,67.3168,3.5999988e-12,23.387604,19.367321,1.2424523
2229,68.58075,3.5999988e-12,23.258453,19.329306,1.4129108
2230,63.64872,3.5999988e-12,23.438385,19.10714,1.6102345
2231,57.44946,3.5999988e-12,24.619293,19.73653,1.1130484
2232,58.668007,3.5999988e-12,24.941803,20.054316,1.9498005
2233,65.186905,140.75531,23.634918,19.377262,2.1159842
2234,54.03042,226281.62,27.314789,21.945457,2.450777
2235,46.85292,888938.8,28.829498,23.125988,2.4458067
2236,44.217884,1662453.0,29.026398,22.448265,2.803412
2237,34.796368,2264833.0,32.77841,24.33969,3.097351
2238,31.487993,2647992.0,33.94876,24.822115,3.5243976
2239,31.843168,2559198.0,33.57724,24.571537,3.5511355
2240,28.872025,2087639.0,34.46347,24.761213,3.4495595
2241,27.992254,1932422.0,34.868744,24.920666,3.1527135
2242,28.399395,1938404.0,34.029938,24.334417,2.7914488
2243,28.182898,1489639.0,34.247467,24.4226,2.4367883
2244,30.98866,908681.9,34.345,24.878698,1.3158096
